OMRÅDE;CIVILSTAND;TID;INDHOLD
København;I alt;2013K2;562253
København;I alt;2013K3;562379
København;I alt;2013K4;569000
København;I alt;2014K1;569557
København;I alt;2014K2;572376
København;I alt;2014K3;572287
København;I alt;2014K4;579513
København;I alt;2015K1;580184
København;I alt;2015K2;583349
København;I alt;2015K3;583525
København;I alt;2015K4;589699
København;I alt;2016K1;591481
København;I alt;2016K2;594231
København;I alt;2016K3;594535
København;I alt;2016K4;601448
København;I alt;2017K1;602481
København;I alt;2017K2;606057
København;I alt;2017K3;605366
København;I alt;2017K4;611822
København;I alt;2018K1;613288
København;I alt;2018K2;615993
København;I alt;2018K3;616098
København;I alt;2018K4;622698
København;I alt;2019K1;623404
København;I alt;2019K2;626350
København;I alt;2019K3;626508
København;I alt;2019K4;633021
København;I alt;2020K1;632340
